tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
126N04514,BISHOP ST,EASTBOUND,HI-92/ALA MOANA BLVD,HI,HONOLULU,96813,21.30697,-157.86374,21.30707,-157.8636,0.011354,1.0,Pacific/Honolulu,P1.11,USA,123,3,N,3,89770,2,,2,7505,10,10,,2569,121,25,3,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,1285,61,13
126-04655,KAPIOLANI BLVD,EASTBOUND,ATKINSON DR,HI,HONOLULU,96814,21.29474,-157.84625,21.29072,-157.83718,0.646502,4.0,Pacific/Honolulu,P1.11,USA,81,3,N,3,89770,2,,6,7503,6,1,,27551,3632,402,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,13776,1816,201
126-04654,KAPIOLANI BLVD,EASTBOUND,MCCULLY ST,HI,HONOLULU,96826,21.29055,-157.83566,21.28946,-157.83234,0.227704,7.0,Pacific/Honolulu,P1.11,USA,81,3,N,3,89770,2,1,6,7503,6,1,,23593,2215,207,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,11797,1108,104
126-04653,HI-99,SOUTHBOUND,FARRINGTON HWY (PEARL CITY),HI,HONOLULU,96782,21.396,-157.98318,21.39577,-157.97677,0.416403,25.0,Pacific/Honolulu,P1.11,USA,87,3,N,2,89770,2,1,4,99,4,9,,51100,1293,402,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,25550,647,201
126-04650,WARD AVE,SOUTHBOUND,KINAU ST,HI,HONOLULU,96814,21.30547,-157.84881,21.30478,-157.84908,0.050734,4.0,Pacific/Honolulu,P1.11,USA,82,3,N,3,89770,2,,4,7511,6,1,,23000,403,281,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,11500,202,141
126P04196,HI-83,WESTBOUND,JOSEPH P LEONG HWY,HI,HONOLULU,96712,21.60236,-158.09985,21.60183,-158.10029,0.048745,17.0,Pacific/Honolulu,P1.11,USA,72,4,N,3,99998,2,,2,83,4,9,,15100,238,51,1,71,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,7550,119,26
126+04180,HI-63,NORTHBOUND,NALANIEHA ST,HI,HONOLULU,96819,21.34696,-157.86629,21.34995,-157.86198,0.346537,8.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,,5,63,4,9,,32573,2066,649,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,16287,1033,325
126+04182,HI-63,NORTHBOUND,I-H3,HI,HONOLULU,96819,21.35814,-157.85734,21.39257,-157.81496,4.413222,11.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,2,4,63,4,9,,30170,1582,584,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,15085,791,292
126+04181,HI-63,NORTHBOUND,VALLEY VIEW DR,HI,HONOLULU,96819,21.35037,-157.86158,21.35814,-157.85734,0.605317,10.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,,4,63,4,9,,29704,1540,586,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,14852,770,293
126+04184,HI-63,NORTHBOUND,HI-830/KAMEHAMEHA HWY,HI,HONOLULU,96744,21.40299,-157.80698,21.40303,-157.80039,0.438034,14.0,Pacific/Honolulu,P1.11,USA,71,2,N,3,43669,2,1,4,83,4,9,,27331,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,13666,2037,187
126-04675,HI-93,SOUTHBOUND,KEAAU HOMESTEADS RD,HI,HONOLULU,96792,21.52835,-158.22761,21.50001,-158.22957,1.97035,2.0,Pacific/Honolulu,P1.11,USA,91,5,N,3,89770,2,1,2,93,4,9,,2100,31,9,1,38,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,1050,16,5
126+04183,HI-63,NORTHBOUND,HI-83/KAHEKILI HWY,HI,HONOLULU,96744,21.39257,-157.81496,21.39705,-157.81023,0.466102,12.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,43669,2,,5,63,4,9,,48578,3250,504,1,99,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,24289,1625,252
126+04186,HI-83,WESTBOUND,I-H3,HI,HONOLULU,96744,21.37565,-157.7814,21.38338,-157.78912,0.729429,2.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,4,83,4,9,,39800,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,19900,2037,187
126P04198,HI-61,NORTHBOUND,HI-98/S VINEYARD BLVD,HI,HONOLULU,96813,21.31273,-157.85647,21.31281,-157.85638,0.008006,1.0,Pacific/Honolulu,P1.11,USA,73,3,N,3,89770,2,,6,7505,6,1,,12730,2989,241,1,94,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,6365,1495,121
126-04439,HI-95,SOUTHBOUND,KAPOLEI PKWY,HI,HONOLULU,96707,21.3313,-158.0896,21.32848,-158.09005,0.196993,3.0,Pacific/Honolulu,P1.11,USA,108,3,N,7,89770,2,,2,95,4,9,,34200,4203,883,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,17100,2102,442
126+04188,HI-83,WESTBOUND,HI-830/KANEOHE BAY DR,HI,HONOLULU,96744,21.3936,-157.79694,21.40238,-157.79963,0.633214,5.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,5,83,4,9,,23382,1611,525,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,11691,806,263
126P04199,HI-61,NORTHBOUND,I-H1/LUNALILO FWY,HI,HONOLULU,96813,21.31427,-157.8548,21.31644,-157.85272,0.201186,3.0,Pacific/Honolulu,P1.11,USA,73,2,N,2,89770,2,1,4,61,4,9,,23536,775,410,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,11768,388,205
126-04438,HI-95,SOUTHBOUND,MALAKOLE ST,HI,HONOLULU,96707,21.32831,-158.09009,21.31345,-158.09936,1.259193,5.0,Pacific/Honolulu,P1.11,USA,108,5,N,7,89770,2,,2,95,4,9,,34200,4203,883,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,17100,2102,442
126+04187,HI-83,WESTBOUND,MOKULELE DR,HI,HONOLULU,96744,21.38617,-157.79196,21.3936,-157.79694,0.608433,4.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,4,83,4,9,,28642,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,14321,2037,187
126-04674,HI-93,SOUTHBOUND,I-H-1/HI-95/KALAELOA BLVD,HI,HONOLULU,96707,21.34167,-158.10697,21.33249,-158.09173,1.190837,11.0,Pacific/Honolulu,P1.3,USA,91,4,N,3,89770,2,,4,93,4,9,,48391,1985,780,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,24196,993,390
126-04673,KAPIOLANI BLVD,EASTBOUND,I-H1/LUNALILO FWY/WAIAKA RD,HI,HONOLULU,96826,21.28745,-157.82612,21.28768,-157.82033,0.37329,9.0,Pacific/Honolulu,P1.11,USA,81,3,N,3,89770,2,,5,7503,6,1,,18036,3168,129,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,9018,1584,65
126P04183,HI-63,NORTHBOUND,HI-83/KAHEKILI HWY,HI,HONOLULU,96744,21.39705,-157.81023,21.40299,-157.80698,0.48632,13.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,43669,2,,4,63,4,9,,32410,3875,601,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,16205,1938,301
126P04184,HI-63,NORTHBOUND,HI-830/KAMEHAMEHA HWY,HI,HONOLULU,96744,21.40303,-157.80039,21.40284,-157.79957,0.054356,15.0,Pacific/Honolulu,P1.11,USA,71,2,N,3,43669,2,,5,83,4,9,,25241,2784,452,1,86,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12621,1392,226
126P04185,HI-83,WESTBOUND,HI-61/KALANIANAOLE HWY/PALI HWY,HI,HONOLULU,96744,21.37491,-157.78074,21.37565,-157.7814,0.067059,1.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,4,83,4,9,,39800,4073,374,1,89,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,19900,2037,187
126+04191,HI-83,WESTBOUND,HI-830/KAMEHAMEHA HWY,HI,HONOLULU,96744,21.41695,-157.81358,21.45721,-157.83807,3.296849,10.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,2,83,4,1,,27094,915,372,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,13547,458,186
126P04180,HI-63,NORTHBOUND,NALANIEHA ST,HI,HONOLULU,96819,21.34995,-157.86198,21.35037,-157.86158,0.038783,9.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,,5,63,4,9,,32573,2066,649,1,99,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,16287,1033,325
126+04190,HI-83,WESTBOUND,HAIKU RD,HI,HONOLULU,96744,21.40361,-157.80702,21.41695,-157.81358,1.060523,9.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,6,83,4,9,,34051,2063,755,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,17026,1032,378
126+04193,HI-83,WESTBOUND,LANILOA ST,HI,HONOLULU,96717,21.55418,-157.85029,21.64092,-157.91903,9.184171,12.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,99998,2,1,2,83,4,9,,11301,275,37,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,5651,138,19
126+04192,HI-83,WESTBOUND,POLINALINA RD,HI,HONOLULU,96744,21.45721,-157.83807,21.55418,-157.85029,8.255991,11.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,2,83,4,9,,13308,917,99,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6654,459,50
126+04195,HI-83,WESTBOUND,PUALALEA ST,HI,HONOLULU,96731,21.65209,-157.92848,21.67769,-157.95208,2.447417,14.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,99998,2,1,2,83,4,9,,12000,202,32,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6000,101,16
126-04665,HI-83,EASTBOUND,COMSAT RD,HI,HONOLULU,96712,21.60236,-158.09985,21.67957,-158.0345,7.295421,3.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,99998,2,1,2,83,4,9,,13756,319,61,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6878,160,31
126+04194,HI-83,WESTBOUND,NANILOA LOOP,HI,HONOLULU,96762,21.64092,-157.91903,21.65209,-157.92848,1.079035,13.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,99998,2,1,2,83,4,9,,12541,212,34,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6271,106,17
126P04186,HI-83,WESTBOUND,I-H3,HI,HONOLULU,96744,21.38338,-157.78912,21.38617,-157.79196,0.265609,3.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,4,83,4,9,,39626,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,19813,2037,187
126+04196,HI-83,WESTBOUND,JOSEPH P LEONG HWY,HI,HONOLULU,96712,21.67957,-158.0345,21.60236,-158.09985,7.295421,16.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,99998,2,1,2,83,4,9,,13756,319,61,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6878,160,31
126+04199,HI-61,NORTHBOUND,I-H1/LUNALILO FWY,HI,HONOLULU,96813,21.31281,-157.85638,21.31427,-157.8548,0.143221,2.0,Pacific/Honolulu,P1.11,USA,73,3,N,2,89770,2,1,6,61,4,9,,19000,863,374,1,98,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,9500,432,187
126P04188,HI-83,WESTBOUND,HI-830/KANEOHE BAY DR,HI,HONOLULU,96744,21.40238,-157.79963,21.40314,-157.80038,0.095501,6.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,5,83,4,9,,24521,2340,480,1,82,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12261,1170,240
126P04189,HI-83,WESTBOUND,HI-63/LIKELIKE HWY,HI,HONOLULU,96744,21.40337,-157.80649,21.40361,-157.80702,0.04494,8.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,5,83,4,9,,25117,3395,675,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12559,1698,338
126N04316,HI-80,SOUTHBOUND,I-H2/HI-99,HI,HONOLULU,96786,21.4915,-158.02865,21.48863,-158.02827,0.200966,5.0,Pacific/Honolulu,P1.11,USA,90,4,N,3,89770,2,,5,80,4,9,,53500,945,86,1,13,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,26750,473,43
126N04318,HI-80,SOUTHBOUND,HI-801/KAUKONAHUA RD,HI,HONOLULU,96786,21.51109,-158.03974,21.51063,-158.03935,0.040573,2.5,Pacific/Honolulu,P1.11,USA,90,4,N,3,89770,2,,2,80,4,9,,14100,2190,189,1,99,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,7050,1095,95
126P04171,HI-92,WESTBOUND,FORT ST/FORT STREET MALL,HI,HONOLULU,96813,21.30804,-157.86415,21.30821,-157.86419,0.012075,14.5,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,8,92,4,9,,44700,4600,3125,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,4,22350,2300,1563
126P04172,I-H1,WESTBOUND,AINAKOA AVE/WAIKUI ST,HI,HONOLULU,96821,21.27792,-157.77971,21.27795,-157.77996,0.016226,1.0,Pacific/Honolulu,P1.3,USA,65,2,N,1,89770,2,,6,1,2,10,,37400,7638,243,1,91,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,18700,3819,122
126P04173,I-H2,NORTHBOUND,LAKEVIEW CIR,HI,HONOLULU,96786,21.48953,-158.03497,21.48943,-158.0353,0.022308,10.5,Pacific/Honolulu,P1.11,USA,66,2,N,2,89770,2,,4,99,4,9,,35000,39,9,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,17500,20,5
126N04552,PUNCHBOWL ST,SOUTHBOUND,HI-98/S VINEYARD BLVD,HI,HONOLULU,96813,21.31024,-157.85429,21.30972,-157.85448,0.037959,4.0,Pacific/Honolulu,P1.11,USA,133,4,N,3,89770,2,,4,7516,6,1,,34400,217,226,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,17200,109,113
126P04170,HI-92,WESTBOUND,I-H1,HI,HONOLULU,96818,21.3398,-157.92862,21.34003,-157.92908,0.033593,27.5,Pacific/Honolulu,P1.11,USA,70,3,N,1,89770,2,1,6,1,2,10,,94585,16266,1737,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,47293,8133,869
126+04160,HI-92,WESTBOUND,FORT ST (HONOLULU) (EAST),HI,HONOLULU,96813,21.30707,-157.8636,21.30762,-157.86393,0.043527,14.0,Pacific/Honolulu,P1.11,USA,69,3,N,3,89770,2,,6,92,4,9,,44610,4245,2798,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,22305,2123,1399
126+04162,HI-92,WESTBOUND,NUUANU AVE,HI,HONOLULU,96813,21.30952,-157.86412,21.31003,-157.86421,0.035819,16.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,1,8,92,4,9,,44700,4600,3125,1,93,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,4,22350,2300,1563
126-04456,HI-750,SOUTHBOUND,WRIGHT AVE,HI,HONOLULU,96786,21.48798,-158.0401,21.48239,-158.04798,0.653754,2.0,Pacific/Honolulu,P1.11,USA,111,3,N,4,89770,2,,4,750,4,1,,27000,446,33,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,13500,223,17
126-04697,KANEOHE BAY DR/MOKAPU SADDLE RD,WESTBOUND,I-H3,HI,HONOLULU,96734,21.40683,-157.7585,21.40633,-157.76424,0.380265,1.0,Pacific/Honolulu,P1.3,USA,153,3,N,3,43669,2,,4,65,4,9,,19700,528,68,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,9850,264,34
126+04161,HI-92,WESTBOUND,BETHEL ST,HI,HONOLULU,96813,21.30821,-157.86419,21.30893,-157.86414,0.049844,15.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,1,8,92,4,9,,44700,4600,3125,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,4,22350,2300,1563
126-04455,HI-750,SOUTHBOUND,KUNIA DR,HI,HONOLULU,96759,21.48175,-158.04836,21.45653,-158.05851,1.861509,4.0,Pacific/Honolulu,P1.11,USA,111,3,N,4,89770,2,,2,750,4,1,,27000,446,33,1,13,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,13500,223,17
126+04164,HI-92,WESTBOUND,KALIHI ST,HI,HONOLULU,96817,21.32179,-157.87951,21.32431,-157.88207,0.239763,19.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,6,92,4,9,,46300,2848,1233,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,23150,1424,617
126+04163,HI-92,WESTBOUND,WAIAKAMILO RD,HI,HONOLULU,96817,21.31516,-157.86684,21.32128,-157.87901,1.076012,17.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,1,6,92,4,9,,44700,4600,3125,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,22350,2300,1563
126P04177,HI-63,NORTHBOUND,I-H1/LUNALILO FWY,HI,HONOLULU,96819,21.33213,-157.87412,21.33424,-157.87146,0.225781,5.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,1,2,63,4,9,,22134,887,558,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,11067,444,279
126+04166,HI-92,WESTBOUND,PUULOA RD,HI,HONOLULU,96819,21.3349,-157.89846,21.33529,-157.90093,0.161239,22.0,Pacific/Honolulu,P1.11,USA,70,3,N,1,89770,2,1,9,1,2,10,,88800,17038,2014,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,4.5,44400,8519,1007
126+04165,HI-92,WESTBOUND,I-H1 (HONOLULU) (EAST),HI,HONOLULU,96819,21.32431,-157.88207,21.33264,-157.88986,0.777357,20.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,6,92,4,9,,52595,3046,1292,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,26298,1523,646
126-04692,HI-7101,WESTBOUND,HI-76/HI-750/FORT WEAVER RD/KUNIA RD,HI,HONOLULU,96797,21.38668,-157.99806,21.37672,-158.02564,1.926861,3.0,Pacific/Honolulu,P1.11,USA,152,4,N,3,89770,2,1,4,7101,4,1,,28862,2906,539,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,14431,1453,270
126+04168,HI-92,WESTBOUND,PAIEA ST,HI,HONOLULU,96819,21.3371,-157.91326,21.33729,-157.91453,0.082769,25.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,7,92,4,9,,23500,1779,103,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3.5,11750,890,52
126-04450,HI-76,SOUTHBOUND,RENTON RD,HI,HONOLULU,96706,21.37224,-158.02601,21.34791,-158.02697,1.748198,4.0,Pacific/Honolulu,P1.11,USA,110,4,N,2,89770,2,1,6,76,4,9,,51984,6692,3282,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,25992,3346,1641
126+04167,HI-92,WESTBOUND,CAMP CATLIN RD,HI,HONOLULU,96818,21.33543,-157.90189,21.33702,-157.91274,0.706784,24.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,6,92,4,9,,23500,1779,103,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,11750,890,52
126+04169,HI-92,WESTBOUND,RODGERS BLVD,HI,HONOLULU,96819,21.33732,-157.91474,21.33787,-157.91832,0.233482,26.0,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,,7,92,4,9,,23500,1779,103,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3.5,11750,890,52
126-04454,HI-750,SOUTHBOUND,ANONUI,HI,HONOLULU,96797,21.45653,-158.05851,21.39642,-158.03796,4.500831,5.0,Pacific/Honolulu,P1.11,USA,111,3,N,3,89770,2,,2,750,4,1,,20600,2012,350,1,24,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,10300,1006,175
126-04696,KANEOHE BAY DR/MOKAPU SADDLE RD,WESTBOUND,KANEOHE BAY DR,HI,HONOLULU,96744,21.40677,-157.76624,21.40996,-157.77105,0.380948,3.0,Pacific/Honolulu,P1.11,USA,153,3,N,3,43669,2,,4,65,4,9,,18534,1449,206,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,9267,725,103
126-04695,KANEOHE BAY DR/MOKAPU SADDLE RD,WESTBOUND,HI-83/HI-63/KAMEHAMEHA HWY,HI,HONOLULU,96744,21.41052,-157.77224,21.40285,-157.79889,1.915035,5.0,Pacific/Honolulu,P1.11,USA,153,3,N,3,43669,2,1,2,65,4,9,,19784,1068,372,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,9892,534,186
126-04453,HI-750,SOUTHBOUND,I-H1,HI,HONOLULU,96797,21.39633,-158.03792,21.38537,-158.03326,0.814405,6.0,Pacific/Honolulu,P1.11,USA,111,3,N,3,89770,2,,4,750,4,1,,21961,2425,562,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,10981,1213,281
126-04693,HI-7101,WESTBOUND,PAIWA ST,HI,HONOLULU,96797,21.39219,-157.99159,21.38668,-157.99806,0.564027,2.0,Pacific/Honolulu,P1.11,USA,152,4,N,3,89770,2,1,4,7101,4,1,,27059,1307,219,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,13530,654,110
126-04451,HI-76,SOUTHBOUND,EXIT 5,HI,HONOLULU,96797,21.38234,-158.03113,21.37985,-158.02911,0.215602,2.0,Pacific/Honolulu,P1.11,USA,110,4,N,2,89770,2,,6,76,4,9,,68300,2931,4143,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,34150,1466,2072
126N04547,SOUTH ST,WESTBOUND,HI-92/ALA MOANA BLVD,HI,HONOLULU,96813,21.29959,-157.86274,21.29942,-157.86302,0.02151,2.0,Pacific/Honolulu,P1.11,USA,132,5,N,7,89770,2,,4,,10,10,,3500,246,111,3,17,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,1750,123,56
126N04304,HI-99,SOUTHBOUND,HI-803/WILIKINA DR,HI,HONOLULU,96786,21.50329,-158.05176,21.50155,-158.05216,0.152496,6.0,Pacific/Honolulu,P1.11,USA,87,2,N,3,99999,2,,2,99,4,9,,12776,1852,344,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6388,926,172
126N04303,HI-99,SOUTHBOUND,HI-750/KUNIA RD,HI,HONOLULU,96786,21.4886,-158.04026,21.48854,-158.03878,0.095239,8.0,Pacific/Honolulu,P1.11,USA,87,2,N,2,89770,2,,4,99,4,9,,29662,1873,305,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,14831,937,153
126N04787,HI-92,EASTBOUND,IWILEI RD,HI,HONOLULU,96817,21.31417,-157.86643,21.31403,-157.86601,0.028739,12.001,Pacific/Honolulu,P1.11,USA,70,3,N,7,89770,1,,1,,10,10,,100,6,5,3,49,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,100,6,5
126N04302,HI-99,SOUTHBOUND,I-H2/HI-80,HI,HONOLULU,96786,21.48993,-158.03307,21.48863,-158.02827,0.353486,10.0,Pacific/Honolulu,P1.11,USA,87,4,N,2,89770,2,,2,99,4,9,,16113,2118,315,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,8057,1059,158
126N04786,I-H3,WESTBOUND,TETSUO HARANO TUNNEL,HI,HONOLULU,96744,21.40341,-157.83283,21.405229996394,-157.85091998724,1.173473,10.001,Pacific/Honolulu,P3.1,USA,67,2,N,1,89770,2,2,4,3,2,10,,46400,5665,346,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,23200,2833,173
126N04308,HI-99,SOUTHBOUND,HI-83/KAMEHAMEHA HWY,HI,HONOLULU,96791,21.57507,-158.1024,21.57453,-158.10195,0.04725,1.5,Pacific/Honolulu,P1.11,USA,87,2,N,3,99999,2,,2,99,4,9,,11800,1175,99,1,99,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,5900,588,50
126N04306,HI-99,SOUTHBOUND,HI-80/KAMEHAMEHA HWY,HI,HONOLULU,96786,21.51511,-158.04045,21.51353,-158.04133,0.12331,3.0,Pacific/Honolulu,P1.11,USA,87,2,N,3,89770,2,,2,99,4,9,,7743,541,93,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,3872,271,47
126P04160,HI-92,WESTBOUND,FORT ST/FORT STREET MALL,HI,HONOLULU,96813,21.30762,-157.86393,21.30804,-157.86415,0.032364,14.5,Pacific/Honolulu,P1.11,USA,69,3,N,3,89770,2,,6,92,4,9,,44700,4600,3125,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,22350,2300,1563
126P04161,HI-92,WESTBOUND,QUEEN ST/BETHEL ST,HI,HONOLULU,96813,21.30893,-157.86414,21.30952,-157.86412,0.040784,15.5,Pacific/Honolulu,P1.11,USA,70,3,N,3,89770,2,1,8,92,4,9,,44700,4600,3125,1,95,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,4,22350,2300,1563
