tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
126P04774,HI-83,NORTHBOUND,HI-83/HI-99/KAMEHAMEHA HWY,HI,HONOLULU,96791,21.57507,-158.1024,21.57542,-158.10261,0.027747,1.0,Pacific/Honolulu,P1.11,USA,158,2,N,3,99999,2,,2,83,4,9,,11600,406,36,1,90,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,5800,203,18
126P04532,HI-7310,NORTHBOUND,HI-92,HI,HONOLULU,96819,21.33452,-157.90148,21.3357,-157.90137,0.082234,1.0,Pacific/Honolulu,P1.11,USA,128,4,N,3,89770,2,,3,7310,4,1,,19282,530,240,1,31,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1.5,9641,265,120
126P04534,HI-7310,NORTHBOUND,HI-78/MOANALUA FWY,HI,HONOLULU,96819,21.34654,-157.89796,21.3496,-157.89525,0.278359,4.0,Pacific/Honolulu,P1.11,USA,128,4,N,3,89770,2,,4,7310,4,1,,34200,1625,912,1,30,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,17100,813,456
126P04775,HI-83,NORTHBOUND,HI-83/KAMEHAMEHA HWY,HI,HONOLULU,96712,21.60144,-158.09985,21.60184,-158.09987,0.027662,3.0,Pacific/Honolulu,P1.11,USA,158,2,N,3,99999,2,,2,83,4,9,,12472,363,39,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,6236,182,20
126P04537,HI-64,NORTHBOUND,HI-92/N NIMITZ HWY,HI,HONOLULU,96819,21.32811,-157.88704,21.32866,-157.88651,0.051385,3.0,Pacific/Honolulu,P1.11,USA,129,5,N,3,89770,2,,5,64,4,9,,17000,3382,1419,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,8500,1691,710
126+04775,HI-83,NORTHBOUND,HI-83/KAMEHAMEHA HWY,HI,HONOLULU,96712,21.57542,-158.10261,21.60144,-158.09985,1.823328,2.0,Pacific/Honolulu,P1.11,USA,158,2,N,3,99999,2,1,2,83,4,9,,11600,406,36,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,5800,203,18
126+04533,HI-7310,NORTHBOUND,SALT LAKE BLVD,HI,HONOLULU,96819,21.3357,-157.90137,21.34487,-157.899,0.673257,2.0,Pacific/Honolulu,P1.11,USA,128,4,N,3,89770,2,,2,7310,4,1,,19469,543,247,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,9735,272,124
126+04534,HI-7310,NORTHBOUND,HI-78/MOANALUA FWY,HI,HONOLULU,96819,21.34487,-157.899,21.34654,-157.89796,0.133368,3.0,Pacific/Honolulu,P1.11,USA,128,4,N,3,89770,2,,6,7310,4,1,,34200,1625,912,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,17100,813,456
126+04537,HI-64,NORTHBOUND,HI-92/N NIMITZ HWY,HI,HONOLULU,96819,21.323,-157.89119,21.32811,-157.88704,0.442814,2.0,Pacific/Honolulu,P1.11,USA,129,5,N,3,89770,2,,4,64,4,9,,16962,3404,1420,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,8481,1702,710
126+04536,HI-64,NORTHBOUND,PAHOUNUI DR/AUIKI ST,HI,HONOLULU,96819,21.30624,-157.8772,21.323,-157.89119,1.662964,1.0,Pacific/Honolulu,P1.11,USA,129,5,N,3,89770,2,1,4,64,4,9,,12328,2414,895,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,6164,1207,448
126N04297,HI-99,SOUTHBOUND,KA UKA BLVD,HI,HONOLULU,96797,21.4197,-158.00601,21.4191,-158.0055,0.052881,19.0,Pacific/Honolulu,P1.11,USA,87,4,N,2,89770,2,,4,99,4,9,,27000,921,19,1,79,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,13500,461,10
126N04295,HI-99,SOUTHBOUND,I-H1 (WAIPAHU),HI,HONOLULU,96797,21.39764,-157.99166,21.39645,-157.99107,0.090542,22.0,Pacific/Honolulu,P1.11,USA,87,4,N,2,89770,2,1,4,99,4,9,,40300,258,33,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,20150,129,17
